Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost / Manufacturer Price,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],,IMAGE LINK
la-mia-tuna-flksnoil,10234,LA MIA TUNA FLKSNOIL,FOOD,,N,,,,,,,33.18,,,,Y,Y,38,16,,,http://www.lamia.ph/wp-content/uploads/2024/01/Flakes-in-oil_Tuna-Products.png
la-mia-tuna-hotspcy,10232,LA MIA TUNA HOTSPCY,FOOD,,N,,,,,,,33.18,,,,Y,Y,38,16,,,https://www.lamia.ph/wp-content/uploads/2024/01/Hot-Spicy_Tuna-Products.png
lampein---m-12pcs,10028,LAMPEIN - M 12PCS,BABY ESSENTIALS,<p>12 PCS - MEDIUM</p>,N,,,,,,,0,4.80651E+12,,,Y,Y,125,12,,,https://down-ph.img.susercontent.com/file/sg-11134202-821e6-mgnshcxvpslqd3
lampein---m-15pcs,10029,LAMPEIN - M 15+1,BABY ESSENTIALS,<p>MEDIUM 15 PCS</p>,N,,,,,,,0,4.80651E+12,,,Y,Y,155,8,,,https://down-ph.img.susercontent.com/file/sg-11134201-7rbly-lp0nb5dw4ws3f3
lampein---m-4pcs,10030,LAMPEIN - M 4PCS,BABY ESSENTIALS,,N,,,,,,,0,4.80651E+12,,,Y,Y,40,4,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98q-m0ciuxelimtg55
lampein-nb-s-12pcs,10073,LAMPEIN NB-S 12PCS,BABY ESSENTIALS,,N,,,,,,,0,4.80651E+12,,,Y,Y,110,10,,,https://down-ph.img.susercontent.com/file/ph-11134207-7rasc-m5joiy2c3lfn9b
lampein-pants---xl-25+2,10031,LAMPEIN PANTS - XL 25+2,BABY ESSENTIALS,<p>LAMPEIN XL ORANGE</p>,N,,,,,,,0,4.80651E+12,,,Y,Y,265,1,,,https://down-ph.img.susercontent.com/file/ph-11134207-7ra0s-mdb356hwvgj2e8
lampein-xxl-12pcs,10078,LAMPEIN XXL 12PCS,BABY ESSENTIALS,,N,,,,,,,0,4.80651E+12,,,Y,Y,145,4,,,https://down-ph.img.susercontent.com/file/ph-11134207-7rase-m5jogiic85fyb5
lift-berry-bolt-320,10111,LIFT BERRY BOLT 320,DRINKS,,N,,,,,,,0,4.80198E+12,,,Y,Y,18,7,,,https://www.tiktok.com/api/img/?itemId=7615083142281465108&location=0&aid=1988
lift-citrus-blast-320,10110,LIFT CITRUS BLAST 320,DRINKS,,N,,,,,,,0,4.80198E+12,,,Y,Y,18,7,,,https://www.marriagemarkers.com/wp-content/uploads/2025/08/Undo-the-Usual-Go-Lift-Mode.jpg
lion-tiger-katol,10043,LION TIGER KATOL - COIL,HOME ESSENTIALS,,N,,,,,,,0,4.8001E+12,,,N,Y,5,,,,https://down-ph.img.susercontent.com/file/ph-11134207-7rash-mam605uy04fl2b
lkyme-beef,10164,LUCKYME BEEF,FOOD,,N,,,,,,,0,4.80777E+12,,,Y,Y,12,12,,,https://luckyme.ph/static/uploads/products/product_25_1d1d6229.webp
lkyme-pnctcntn-chilimansi,10168,LUCKYME PNCTCNTN CHILIMANSI,FOOD,,N,,,,,,,0,4.80777E+12,,,Y,Y,15,12,,,https://pagbilan.co.uk/wp-content/uploads/2023/10/IMG_1391.jpeg
lkyme-pnctcntn-kal,10165,LUCKYME PNCTCNTN KAL,FOOD,,N,,,,,,,0,4.80777E+12,,,Y,Y,15,10,,,https://luckyme.ph/static/uploads/products/product_17_2e4d99ba.webp
lkyme-pnctcntn-orig,10166,LUCKYME PNCTCNTN ORIG,FOOD,,N,,,,,,,0,4.80777E+12,,,Y,Y,15,9,,,https://down-ph.img.susercontent.com/file/ph-11134201-7r98z-m0a4iq4ga6tgef
lkyme-pnctcntn-xtrahot,10167,LUCKYME PNCTCNTN XTRAHOT,FOOD,,N,,,,,,,0,4.80777E+12,,,Y,Y,15,10,,,https://filipino.is/wp-content/uploads/2022/11/Lucky-Me-PC-Extra-Hot-Chili-80g.jpg
magic-chips-bbq,10224,MAGIC CHIPS BBQ,SNACKS,,N,,,,,,,7.92,4.80002E+12,,,Y,Y,10,48,,,https://down-ph.img.susercontent.com/file/ph-11134207-7quky-lhfqc1fhlz49cd_tn
