Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],IMAGE LINK
holiday-spicy-corned-beef,10069,HOLIDAY SPICY CORNED BEEF,FOOD,,N,,,,,,,0,4800066122304,,,Y,Y,38,2,,http://zbga.shopsuki.ph/cdn/shop/files/4800066122304_6d2be0e1-737a-4835-8aa4-60327fcd4cc3_1024x.jpg?v=1685600137
holiday-vienna-sausage,10070,HOLIDAY VIENNA SAUSAGE,FOOD,,N,,,,,,,0,4800066124902,,,Y,Y,45,28,,https://zbga.shopsuki.ph/cdn/shop/files/37600820530_800x.jpg?v=1706142049
ice-cube-1kl,10298,ICE CUBE 1KG,ICE,,Y,,,,,,,13,,,,Y,Y,25,5,,https://5.imimg.com/data5/IMOB/Default/2025/3/498986786/GX/FJ/BW/75057132/img-20240305-wa0000-3-1743154965003-jpg-500x500.jpg
ice-cube-2kg,10299,ICE CUBE 2KG,ICE,,Y,,,,,,,24,,,,Y,Y,35,5,,"https://res.cloudinary.com/goflink/image/upload/b_rgb:F8F8F8/f_png/w_800,ar_1:1,c_fill,g_south/product-images-prod/55bdc5e1-26a6-4eb0-815a-4c0c49f461a7.png"
ice-cube-3kg,10300,ICE CUBE 3KG,ICE,,N,,,,,,,33,,,,Y,Y,45,-1,,https://multiplastics.co.za/wp-content/uploads/2024/08/Ice-Square.png
keratin-plus-(gold)-20g,10242,KERATIN PLUS (GOLD) 20g,HOME ESSENTIALS,,N,,,,,,,6,4806515161511,,,Y,Y,10,24,5,https://shoplilimart.com/cdn/shop/files/KeratinPlusGold.png?v=1727760208&width=900
kopiko-blk,10174,KOPIKO BLACK 2PK,FOOD,,N,,,,,,,13.4,8998666001702,,,Y,Y,16.98,10,,https://imartgrocersph.com/wp-content/uploads/2020/09/Kopiko-Black-3-in-1-Twin-Pack-60g.png
kopiko-blanca,10175,KOPIKO BLANCA 2PK,FOOD,,N,,,,,,,13.4,8998666001726,,,Y,Y,16.98,10,,https://imartgrocersph.com/wp-content/uploads/2020/09/Kopiko-Blanca-Twin-Pack-52g-400x400.png
kopiko-brown,10176,KOPIKO BROWN 2PK,FOOD,,N,,,,,,,13.4,8998666001719,,,Y,Y,16.98,10,,https://dalidash.ph/cdn/shop/files/8_ff8f66ec-2bc5-4eac-a0de-ec0a2a483788.png?v=1764573040
kropek-ni-mangjuan,10226,KROPEK NI MANGJUAN 90G,SNACKS,,N,,,,,,,23.01,4800016115943,,,Y,Y,29.98,10,,https://images.freshop.ncrcloud.com/1564405684714621830/6a71367e685e94d785ce99f4ad9f0b8c_large.png
la-mia-tuna-afrtda,10233,LA MIA TUNA AFRTDA,FOOD,,N,,,,,,,33.18,,,,Y,Y,38,15,,http://www.lamia.ph/wp-content/uploads/2024/01/Afritada_Tuna-Products-527x800.png
la-mia-tuna-flksnoil,10234,LA MIA TUNA FLKSNOIL,FOOD,,N,,,,,,,33.18,,,,Y,Y,38,14,,http://www.lamia.ph/wp-content/uploads/2024/01/Flakes-in-oil_Tuna-Products.png
la-mia-tuna-hotspcy,10232,LA MIA TUNA HOTSPCY,FOOD,,N,,,,,,,33.18,,,,Y,Y,38,16,,https://www.lamia.ph/wp-content/uploads/2024/01/Hot-Spicy_Tuna-Products.png
lampein---m-12pcs,10028,LAMPEIN - M 12PCS,BABY ESSENTIALS,<p>12 PCS - MEDIUM</p>,N,,,,,,,0,4806506319624,,,Y,Y,125,12,,https://www.srssulit.com/wp-content/uploads/products/8572-1.png
lampein---m-15pcs,10029,LAMPEIN - M 15+1,BABY ESSENTIALS,<p>MEDIUM 15 PCS</p>,N,,,,,,,0,4806506319556,,,Y,Y,155,8,,http://shopsuki.ph/cdn/shop/files/4806506319556_1024x.jpg?v=1718691372
lampein---m-4pcs,10030,LAMPEIN - M 4PCS,BABY ESSENTIALS,,N,,,,,,,0,4806506319723,,,Y,Y,40,4,,https://img.lazcdn.com/g/p/6f2dd7bb106bd08864ea12ae731508a6.png_720x720q80.png
lampein-nb-s-12pcs,10073,LAMPEIN NB-S 12PCS,BABY ESSENTIALS,,N,,,,,,,0,4806506319617,,,Y,Y,110,10,,https://img.lazcdn.com/g/p/c4367a1024aabc606907bc51c30aca05.jpg_720x720q80.jpg
lampein-pants---xl-25+2,10031,LAMPEIN PANTS - XL 25+2,BABY ESSENTIALS,<p>LAMPEIN XL ORANGE</p>,N,,,,,,,0,4806506317149,,,Y,Y,265,1,,https://shopsuki.ph/cdn/shop/files/4806506317149_800x.jpg?v=1731638303
lampein-xxl-12pcs,10078,LAMPEIN XXL 12PCS,BABY ESSENTIALS,,N,,,,,,,0,4806506319372,,,Y,Y,145,4,,https://img.lazcdn.com/g/p/c4367a1024aabc606907bc51c30aca05.jpg_720x720q80.jpg
lemon-square-cheese-cake,10330,LEMON SQUARE CHEESE CAKE,FOOD,,N,,,,,,,7.7,4809010626011,,,Y,Y,11.98,10,,https://pinoywarehouse.com.au/wp-content/uploads/2025/02/noodlesLucky-Me-Beef-na-Beef.png
lemon-square-cheese-cake-pack,10375,LEMON SQUARE CHEESE CAKE PACK,SNACKS,,N,,,,,,,77,4809010626332,,,Y,Y,99.98,1,,https://shopsuki.ph/cdn/shop/files/4800092332791_800x.jpg?v=1700107585
lemon-square-lava-cake,10332,LEMON SQUARE LAVA CAKE,FOOD,,N,,,,,,,7.8,4806018405785,,,Y,Y,9.98,9,,https://pinoywarehouse.com.au/wp-content/uploads/2025/02/noodlesLucky-Me-Beef-na-Beef.png
lemon-square-lava-cake-pack,10378,LEMON SQUARE LAVA CAKE PACK,SNACKS,,N,,,,,,,78,4806018405792,,,Y,Y,89.98,1,,https://shopsuki.ph/cdn/shop/files/4800092332791_800x.jpg?v=1700107585
lemonsquare-inipit,10331,LEMONSQUARE INIPIT,FOOD,,N,,,,,,,5.82,,,,Y,Y,8.98,10,,https://pinoywarehouse.com.au/wp-content/uploads/2025/02/noodlesLucky-Me-Beef-na-Beef.png
lift-berry-bolt-320,10111,LIFT BERRY BOLT 320,DRINKS,,N,,,,,,,14.17,4801981098095,,,Y,Y,18,14,,https://www.chegoeson.com/wp-content/uploads/2026/02/1.jpg
lift-citrus-blast-320,10110,LIFT CITRUS BLAST 320,DRINKS,,N,,,,,,,41.16,4801981098088,,,Y,Y,18,10,,https://www.coca-cola.com/content/dam/onexp/ph/en/brands/lift/lift-lemon-v2.jpg
lion-tiger-katol,10043,LION TIGER KATOL - COIL,HOME ESSENTIALS,,N,,,,,,,0,4800101008884,,,N,Y,5,,,https://www.royplazastore.com/media/208006.jpg
lkyme-beef,10164,LUCKYME BEEF,FOOD,,N,,,,,,,8.95,4807770270017,,,Y,Y,12,24,,https://pinoywarehouse.com.au/wp-content/uploads/2025/02/noodlesLucky-Me-Beef-na-Beef.png
lucky-me-chicken-noodles,10320,LUCKYME CHICKEN NOODLES,FOOD,,N,,,,,,,8.95,4807770270024,,,Y,Y,11.98,12,,https://luckyme.ph/static/uploads/products/product_16_3dbc1962.webp
luckyme-mac-&-cheese,10321,LUCKYME MAC & CHEESE,FOOD,,N,,,,,,,24.25,4807770272660,,,Y,Y,28.98,12,,https://luckyme.ph/static/uploads/products/product_16_3dbc1962.webp
lkyme-pnctcntn-chilimansi,10168,LUCKYME PANCITCANTON CHILIMANSI,FOOD,,N,,,,,,,13,4807770270291,,,Y,Y,15,10,,https://luckyme.ph/static/uploads/products/product_13_e1615d4a.webp
lkyme-pnctcntn-kal,10165,LUCKYME PANCITCANTON KAL,FOOD,,N,,,,,,,0,4807770270123,,,Y,Y,15,10,,https://luckyme.ph/static/uploads/products/product_16_3dbc1962.webp
lkyme-pnctcntn-orig,10166,LUCKYME PANCITCANTON ORIG,FOOD,,N,,,,,,,0,4807770270055,,,Y,Y,15,6,,https://luckyme.ph/static/uploads/products/product_16_3dbc1962.webp
